"","genus","species"
"890","Arborimus","pomo"
"891","Arvicola","amphibus"
"892","Arvicola","sapidus"
"893","Arvicola","scherman"
"894","Blanfordimys","afghanus"
"895","Blanfordimys","bucharensis"
"896","Caryomys","eva"
"897","Caryomys","inez"
"898","Chionomys","gud"
"899","Chionomys","nivalis"
"900","Chionomys","roberti"
"901","Dicrostonyx","exsul"
"902","Dicrostonyx","groenlandicus"
"903","Dicrostonyx","hudsonius"
"904","Dicrostonyx","kilangmiutak"
"905","Dicrostonyx","nelsoni"
"906","Dicrostonyx","nunatakensis"
"907","Dicrostonyx","richardsoni"
"908","Dicrostonyx","rubricatus"
"909","Dicrostonyx","torquatus"
"910","Dicrostonyx","unalascensis"
"911","Dicrostonyx","vinogradovi"
"912","Dinaromys","bogdanovi"
"913","Ellobius","alaicus"
"914","Ellobius","fuscocapillus"
"915","Ellobius","lutescens"
"916","Ellobius","talpinus"
"917","Ellobius","tancrei"
"918","Eolagurus","luteus"
"919","Eolagurus","przewalskii"
"920","Eothenomys","cachinus"
"921","Eothenomys","chinensis"
"922","Eothenomys","custos"
"923","Eothenomys","melanogaster"
"924","Eothenomys","miletus"
"925","Eothenomys","olitor"
"926","Eothenomys","proditor"
"927","Eothenomys","wardi"
"928","Hyperacrius","fertilis"
"929","Hyperacrius","wynnei"
"930","Lagurus","lagurus"
"931","Lasiopodomys","brandtii"
"932","Lasiopodomys","fuscus"
"933","Lasiopodomys","mandarinus"
"934","Lemmiscus","curtatus"
"935","Lemmus","amurensis"
"936","Lemmus","lemmus"
"937","Lemmus","sibiricus"
"938","Lemmus","trimucronatus"
"939","Microtus","abbreviatus"
"940","Microtus","agrestis"
"941","Microtus","arvalis"
"942","Microtus","bavaricus"
"943","Microtus","breweri"
"944","Microtus","cabrerae"
"945","Microtus","californicus"
"946","Microtus","canicaudus"
"947","Microtus","chrotorrhinus"
"948","Microtus","daghestanicus"
"949","Microtus","duodecimcostatus"
"950","Microtus","evoronensis"
"951","Microtus","felteni"
"952","Microtus","fortis"
"953","Microtus","gerbei"
"954","Microtus","gregalis"
"955","Microtus","guatemalensis"
"956","Microtus","guentheri"
"957","Microtus","hyperboreus"
"958","Microtus","irani"
"959","Microtus","irene"
"960","Microtus","juldaschi"
"961","Microtus","kermanensis"
"962","Microtus","kirgisorum"
"963","Microtus","leucurus"
"964","Microtus","limnophilus"
"965","Microtus","longicaudus"
"966","Microtus","lusitanicus"
"967","Microtus","majori"
"968","Microtus","maximowiczii"
"969","Microtus","mexicanus"
"970","Microtus","middendorffi"
"971","Microtus","miurus"
"972","Microtus","mongolicus"
"973","Microtus","montanus"
"974","Microtus","montebelli"
"975","Microtus","mujanensis"
"976","Microtus","multiplex"
"977","Microtus","nasarovi"
"978","Microtus","oaxacensis"
"979","Microtus","obscurus"
"980","Microtus","ochrogaster"
"981","Microtus","oeconomus"
"982","Microtus","oregoni"
"983","Microtus","pennsylvanicus"
"984","Microtus","pinetorum"
"985","Microtus","quasiater"
"986","Microtus","richardsoni"
"987","Microtus","rossiaemeridionalis"
"988","Microtus","savii"
"989","Microtus","schelkovnikovi"
"990","Microtus","sikimensis"
"991","Microtus","socialis"
"992","Microtus","subterraneus"
"993","Microtus","tatricus"
"994","Microtus","thomasi"
"995","Microtus","townsendii"
"996","Microtus","transcaspicus"
"997","Microtus","umbrosus"
"998","Microtus","xanthognathus"
"999","Myodes","californicus"
"1000","Myodes","centralis"
"1001","Myodes","gapperi"
"1002","Myodes","glareolus"
"1003","Myodes","rufocanus"
"1004","Myodes","rutilus"
"1005","Myodes","sikotanensis"
"1006","Myopus","schisticolor"
"1007","Neodon","forresti"
"1008","Neodon","irene"
"1009","Neodon","juldaschi"
"1010","Neodon","sikimensis"
"1011","Neofiber","alleni"
"1012","Ondatra","zibethicus"
"1013","Phaiomys","leucurus"
"1014","Phenacomys","intermedius"
"1015","Phenacomys","ungava"
"1016","Proedromys","bedfordi"
"1017","Prometheomys","schaposchnikowi"
"1018","Synaptomys","borealis"
"1019","Synaptomys","cooperi"
"1020","Volemys","millicens"
"1021","Volemys","musseri"
"1022","Nyctomys","sumichrasti"
"1023","Otonyctomys","hatti"
"1024","Ototylomys","phyllotis"
"1025","Tylomys","bullaris"
"1026","Tylomys","fulviventer"
"1027","Tylomys","mirae"
"1028","Tylomys","nudicaudus"
"1029","Tylomys","panamensis"
"1030","Tylomys","tumbalensis"
"1031","Tylomys","watsoni"
"1032","Baiomys","musculus"
"1033","Baiomys","taylori"
"1034","Habromys","chinanteco"
"1035","Habromys","delicatulus"
"1036","Habromys","ixtlani"
"1037","Habromys","lepturus"
"1038","Habromys","lophurus"
"1039","Habromys","simulatus"
"1040","Hodomys","alleni"
"1041","Isthmomys","flavidus"
"1042","Isthmomys","pirrensis"
"1043","Megadontomys","cryophilus"
"1044","Megadontomys","nelsoni"
"1045","Megadontomys","thomasi"
"1046","Nelsonia","goldmani"
"1047","Nelsonia","neotomodon"
"1048","Neotoma","albigula"
"1049","Neotoma","angustapalata"
"1050","Neotoma","anthonyi"
"1051","Neotoma","bryanti"
"1052","Neotoma","bunkeri"
"1053","Neotoma","chrysomelas"
"1054","Neotoma","devia"
"1055","Neotoma","floridana"
"1056","Neotoma","goldmani"
"1057","Neotoma","lepida"
"1058","Neotoma","magister"
"1059","Neotoma","martinensis"
"1060","Neotoma","mexicana"
"1061","Neotoma","micropus"
"1062","Neotoma","nelsoni"
"1063","Neotoma","palatina"
"1064","Neotoma","stephensi"
"1065","Neotoma","varia"
"1066","Neotoma","phenax"
"1067","Neotoma","cinerea"
"1068","Neotoma","fuscipes"
"1069","Neotomodon","alstoni"
"1070","Ochrotomys","nuttalli"
"1071","Onychomys","arenicola"
"1072","Onychomys","leucogaster"
"1073","Onychomys","torridus"
"1074","Osgoodomys","banderanus"
"1075","Peromyscus","californicus"
"1076","Peromyscus","eremicus"
"1077","Peromyscus","guardia"
"1078","Peromyscus","interparietalis"
"1079","Peromyscus","dickeyi"
"1080","Peromyscus","pseudocrinitus"
"1081","Peromyscus","eva"
"1082","Peromyscus","caniceps"
"1083","Peromyscus","merriami"
"1084","Peromyscus","pembertoni"
"1085","Peromyscus","hooperi"
"1086","Peromyscus","crinitus"
"1087","Peromyscus","maniculatus"
"1088","Peromyscus","polionotus"
"1089","Peromyscus","sejugis"
"1090","Peromyscus","oreas"
"1091","Peromyscus","sitkensis"
"1092","Peromyscus","melanotis"
"1093","Peromyscus","slevini"
"1094","Peromyscus","nesodytes"
"1095","Peromyscus","leucopus"
"1096","Peromyscus","gossypinus"
"1097","Peromyscus","aztecus"
"1098","Peromyscus","spicilegus"
"1099","Peromyscus","winkelmanni"
"1100","Peromyscus","boylii"
"1101","Peromyscus","levipes"
"1102","Peromyscus","schmidlyi"
"1103","Peromyscus","stephani"
"1104","Peromyscus","attwateri"
"1105","Peromyscus","simulus"
"1106","Peromyscus","madrensis"
"1107","Peromyscus","pectoralis"
"1108","Peromyscus","polius"
"1109","Peromyscus","truei"
"1110","Peromyscus","gratus"
"1111","Peromyscus","bullatus"
"1112","Peromyscus","difficilis"
"1113","Peromyscus","nasutus"
"1114","Peromyscus","melanophrys"
"1115","Peromyscus","perfulvus"
"1116","Peromyscus","mekisturus"
"1117","Peromyscus","furvus"
"1118","Peromyscus","ochraventer"
"1119","Peromyscus","mayensis"
"1120","Peromyscus","megalops"
"1121","Peromyscus","melanurus"
"1122","Peromyscus","melanocarpus"
"1123","Peromyscus","mexicanus"
"1124","Peromyscus","gymnotis"
"1125","Peromyscus","guatemalensis"
"1126","Peromyscus","zarhynchus"
"1127","Peromyscus","grandis"
"1128","Peromyscus","yucatanicus"
"1129","Peromyscus","stirtoni"
"1130","Podomys","floridanus"
"1131","Reithrodontomys","brevirostris"
"1132","Reithrodontomys","burti"
"1133","Reithrodontomys","chrysopsis"
"1134","Reithrodontomys","creper"
"1135","Reithrodontomys","darienensis"
"1136","Reithrodontomys","fulvescens"
"1137","Reithrodontomys","gracilis"
"1138","Reithrodontomys","hirsutus"
"1139","Reithrodontomys","humulis"
"1140","Reithrodontomys","megalotis"
"1141","Reithrodontomys","mexicanus"
"1142","Reithrodontomys","microdon"
"1143","Reithrodontomys","montanus"
"1144","Reithrodontomys","paradoxus"
"1145","Reithrodontomys","raviventris"
"1146","Reithrodontomys","rodriguezi"
"1147","Reithrodontomys","spectabilis"
"1148","Reithrodontomys","sumichrasti"
"1149","Reithrodontomys","tenuirostris"
"1150","Reithrodontomys","zacatecae"
"1151","Scotinomys","teguina"
"1152","Scotinomys","xerampelinus"
"1153","Xenomys","nelsoni"
"1154","Delomys","collinus"
"1155","Delomys","dorsalis"
"1156","Delomys","sublineatus"
"1157","Irenomys","tarsalis"
"1158","Juliomys","pictipes"
"1159","Juliomys","rimofrons"
"1160","Phaenomys","ferrugineus"
"1161","Punomys","lemminus"
"1162","Wiedomys","pyrrhorhinos"
"1163","Wilfredomys","oenax"
"1164","Abrothrix","andinus"
"1165","Abrothrix","hershkovitzi"
"1166","Abrothrix","illuteus"
"1167","Abrothrix","jelskii"
"1168","Abrothrix","lanosus"
"1169","Abrothrix","longipilis"
"1170","Abrothrix","markhami"
"1171","Abrothrix","olivaceus"
"1172","Abrothrix","sanborni"
"1173","Chelemys","delfini"
"1174","Chelemys","macronyx"
"1175","Chelemys","megalonyx"
"1176","Geoxus","valdivianus"
"1177","Notiomys","edwardsii"
"1178","Pearsonomys","annectens"
"1179","Akodon","aerosus"
"1180","Akodon","affinis"
"1181","Akodon","albiventer"
"1182","Akodon","azarae"
"1183","Akodon","bogotensis"
"1184","Akodon","boliviensis"
"1185","Akodon","budini"
"1186","Akodon","caenosus"
"1187","Akodon","cursor"
"1188","Akodon","dayi"
"1189","Akodon","dolores"
"1190","Akodon","fumeus"
"1191","Akodon","glaucinus"
"1192","Akodon","iniscatus"
"1193","Akodon","juninensis"
"1194","Akodon","kofordi"
"1195","Akodon","latebricola"
"1196","Akodon","lindberghi"
"1197","Akodon","lutescens"
"1198","Akodon","mimus"
"1199","Akodon","mollis"
"1200","Akodon","montensis"
"1201","Akodon","mystax"
"1202","Akodon","neocenus"
"1203","Akodon","orophilus"
"1204","Akodon","paranaensis"
"1205","Akodon","pervalens"
"1206","Akodon","philipmyersi"
"1207","Akodon","polopi"
"1208","Akodon","reigi"
"1209","Akodon","sanctipaulensis"
"1210","Akodon","serrensis"
"1211","Akodon","siberiae"
"1212","Akodon","simulator"
"1213","Akodon","spegazzinii"
"1214","Akodon","subfuscus"
"1215","Akodon","surdus"
"1216","Akodon","sylvanus"
"1217","Akodon","tartareus"
"1218","Akodon","toba"
"1219","Akodon","torques"
"1220","Akodon","varius"
"1221","Bibimys","chacoensis"
"1222","Bibimys","labiosus"
"1223","Bibimys","torresi"
"1224","Blarinomys","breviceps"
"1225","Brucepattersonius","albinasus"
"1226","Brucepattersonius","griserufescens"
"1227","Brucepattersonius","guarani"
"1228","Brucepattersonius","igniventris"
"1229","Brucepattersonius","iheringi"
"1230","Brucepattersonius","misionensis"
"1231","Brucepattersonius","paradisus"
"1232","Brucepattersonius","soricinus"
"1233","Deltamys","kempi"
"1234","Juscelinomys","candango"
"1235","Juscelinomys","guaporensis"
"1236","Juscelinomys","huanchacae"
"1237","Juscelinomys","talpinus"
"1238","Kunsia","fronto"
"1239","Kunsia","tomentosus"
"1240","Lenoxus","apicalis"
"1241","Oxymycterus","akodontius"
"1242","Oxymycterus","amazonicus"
"1243","Oxymycterus","angularis"
"1244","Oxymycterus","caparaoe"
"1245","Oxymycterus","delator"
"1246","Oxymycterus","hiska"
"1247","Oxymycterus","hispidus"
"1248","Oxymycterus","hucucha"
"1249","Oxymycterus","inca"
"1250","Oxymycterus","josei"
"1251","Oxymycterus","nasutus"
"1252","Oxymycterus","paramensis"
"1253","Oxymycterus","roberti"
"1254","Oxymycterus","rutus"
"1255","Podoxymys","roraimae"
"1256","Scapteromys","aquaticus"
"1257","Scapteromys","tumidus"
"1258","Thalpomys","cerradensis"
"1259","Thalpomys","lasiotis"
"1260","Thaptomys","nigrita"
"1261","Anotomys","leander"
"1262","Chibchanomys","orcesi"
"1263","Chibchanomys","trichotis"
"1264","Ichthyomys","hydrobates"
"1265","Ichthyomys","pittieri"
"1266","Ichthyomys","stolzmanni"
"1267","Ichthyomys","tweedii"
"1268","Neusticomys","monticolus"
"1269","Neusticomys","mussoi"
"1270","Neusticomys","oyapocki"
"1271","Neusticomys","peruviensis"
"1272","Neusticomys","venezuelae"
"1273","Rheomys","mexicanus"
"1274","Rheomys","raptor"
"1275","Rheomys","thomasi"
"1276","Rheomys","underwoodi"
"1277","Aegialomys","galapagoensis"
"1278","Aegialomys","xanthaeolus"
"1279","Amphinectomys","savamis"
"1280","Cerradomys","langguthi"
"1281","Cerradomys","maracajuensis"
"1282","Cerradomys","marinhus"
"1283","Cerradomys","scotti"
"1284","Cerradomys","subflavus"
"1285","Cerradomys","vivoi"
"1286","Eremoryzomys","polius"
"1287","Euryoryzomys","emmonsae"
"1288","Euryoryzomys","lamia"
"1289","Euryoryzomys","legatus"
"1290","Euryoryzomys","macconnelli"
"1291","Euryoryzomys","nitidus"
"1292","Euryoryzomys","russatus"
"1293","Handleyomys","alfaroi"
"1294","Handleyomys","chapmani"
"1295","Handleyomys","fuscatus"
"1296","Handleyomys","intectus"
"1297","Handleyomys","melanotis"
"1298","Handleyomys","rhabdops"
"1299","Handleyomys","rostratus"
"1300","Handleyomys","saturatior"
"1301","Holochilus","brasiliensis"
"1302","Holochilus","chacarius"
"1303","Holochilus","sciureus"
"1304","Hylaeamys","acritus"
"1305","Hylaeamys","laticeps"
"1306","Hylaeamys","megacephalus"
"1307","Hylaeamys","oniscus"
"1308","Hylaeamys","perenensis"
"1309","Hylaeamys","tatei"
"1310","Hylaeamys","yunganus"
"1311","Lundomys","molitor"
"1312","Megalomys","desmarestii"
"1313","Megalomys","luciae"
"1314","Melanomys","caliginosus"
"1315","Melanomys","robustulus"
"1316","Melanomys","zunigae"
"1317","Microryzomys","altissimus"
"1318","Microryzomys","minutus"
"1319","Mindomys","hammondi"
"1320","Neacomys","dubosti"
"1321","Neacomys","guianae"
"1322","Neacomys","minutus"
"1323","Neacomys","musseri"
"1324","Neacomys","paracou"
"1325","Neacomys","pictus"
"1326","Neacomys","spinosus"
"1327","Neacomys","tenuipes"
"1328","Nectomys","apicalis"
"1329","Nectomys","magdalenae"
"1330","Nectomys","palmipes"
"1331","Nectomys","rattus"
"1332","Nectomys","squamipes"
"1333","Nephelomys","albigularis"
"1334","Nephelomys","auriventer"
"1335","Nephelomys","caracolus"
"1336","Nephelomys","childi"
"1337","Nephelomys","devius"
"1338","Nephelomys","keaysi"
"1339","Nephelomys","levipes"
"1340","Nephelomys","maculiventer"
"1341","Nephelomys","meridensis"
"1342","Nephelomys","moerex"
"1343","Nephelomys","nimbosus"
"1344","Nephelomys","pectoralis"
"1345","Nephelomys","pirrensis"
"1346","Nesoryzomys","darwini"
"1347","Nesoryzomys","fernandinae"
"1348","Nesoryzomys","indefessus"
"1349","Nesoryzomys","swarthi"
"1350","Noronhomys","vespuccii"
"1351","Oecomys","auyantepui"
"1352","Oecomys","bicolor"
"1353","Oecomys","catherinae"
"1354","Oecomys","cleberi"
"1355","Oecomys","concolor"
"1356","Oecomys","flavicans"
"1357","Oecomys","mamorae"
"1358","Oecomys","paricola"
"1359","Oecomys","phaeotis"
"1360","Oecomys","rex"
"1361","Oecomys","roberti"
"1362","Oecomys","rutilus"
"1363","Oecomys","speciosus"
"1364","Oecomys","superans"
"1365","Oecomys","sydandersoni"
"1366","Oecomys","trinitatis"
"1367","Oligoryzomys","andinus"
"1368","Oligoryzomys","arenalis"
"1369","Oligoryzomys","brendae"
"1370","Oligoryzomys","chacoensis"
"1371","Oligoryzomys","destructor"
"1372","Oligoryzomys","flavescens"
"1373","Oligoryzomys","fornesi"
"1374","Oligoryzomys","fulvescens"
"1375","Oligoryzomys","griseolus"
"1376","Oligoryzomys","longicaudatus"
"1377","Oligoryzomys","magellanicus"
"1378","Oligoryzomys","microtis"
"1379","Oligoryzomys","moojeni"
"1380","Oligoryzomys","nigripes"
"1381","Oligoryzomys","rupestris"
"1382","Oligoryzomys","stramineus"
"1383","Oligoryzomys","transitorius"
"1384","Oligoryzomys","vegetus"
"1385","Oligoryzomys","victus"
"1386","Oreoryzomys","balneator"
"1387","Oryzomys","antillarum"
"1388","Oryzomys","couesi"
"1389","Oryzomys","dimidiatus"
"1390","Oryzomys","gorgasi"
"1391","Oryzomys","nelsoni"
"1392","Oryzomys","palustris"
"1393","Pseudoryzomys","simplex"
"1394","Scolomys","melanops"
"1395","Scolomys","ucayalensis"
"1396","Sigmodontomys","alfari"
"1397","Sigmodontomys","aphrastus"
"1398","Sooretamys","angouya"
"1399","Transandinomys","bolivaris"
"1400","Transandinomys","talamancae"
"1401","Zygodontomys","brevicauda"
"1402","Zygodontomys","brunneus"
"1403","Andalgalomys","olrogi"
"1404","Andalgalomys","pearsoni"
"1405","Andalgalomys","roigi"
"1406","Andinomys","edax"
"1407","Auliscomys","boliviensis"
"1408","Auliscomys","pictus"
"1409","Auliscomys","sublimis"
"1410","Calomys","boliviae"
"1411","Calomys","callidus"
"1412","Calomys","callosus"
"1413","Calomys","hummelincki"
"1414","Calomys","laucha"
"1415","Calomys","lepidus"
"1416","Calomys","musculinus"
"1417","Calomys","sorellus"
"1418","Calomys","tener"
"1419","Calomys","tocantinsi"
"1420","Chinchillula","sahamae"
"1421","Eligmodontia","hirtipes"
"1422","Eligmodontia","moreni"
"1423","Eligmodontia","morgani"
"1424","Eligmodontia","puerulus"
"1425","Eligmodontia","typus"
"1426","Galenomys","garleppi"
"1427","Graomys","centralis"
"1428","Graomys","domorum"
"1429","Graomys","edithae"
"1430","Graomys","griseoflavus"
"1431","Paralomys","gerbillus"
"1432","Phyllotis","amicus"
"1433","Phyllotis","andium"
"1434","Phyllotis","bonariensis"
"1435","Phyllotis","caprinus"
"1436","Phyllotis","darwini"
"1437","Phyllotis","definitus"
"1438","Phyllotis","haggardi"
"1439","Phyllotis","limatus"
"1440","Phyllotis","magister"
"1441","Phyllotis","osgoodi"
"1442","Phyllotis","osilae"
"1443","Phyllotis","wolffsohni"
"1444","Phyllotis","xanthopygus"
"1445","Salinomys","delicatus"
"1446","Tapecomys","primus"
"1447","Euneomys","chinchilloides"
"1448","Euneomys","fossor"
"1449","Euneomys","mordax"
"1450","Euneomys","petersoni"
"1451","Neotomys","ebriosus"
"1452","Reithrodon","auritus"
"1453","Reithrodon","typicus"
"1454","Sigmodon","alleni"
"1455","Sigmodon","arizonae"
"1456","Sigmodon","hirsutus"
"1457","Sigmodon","hispidus"
"1458","Sigmodon","mascotensis"
"1459","Sigmodon","ochrognathus"
"1460","Sigmodon","planifrons"
"1461","Sigmodon","toltecus"
"1462","Sigmodon","zanjonensis"
"1463","Sigmodon","fulviventer"
"1464","Sigmodon","inopinatus"
"1465","Sigmodon","leucotis"
"1466","Sigmodon","peruanus"
"1467","Sigmodon","alstoni"
"1468","Abrawayaomys","ruschii"
"1469","Aepeomys","lugens"
"1470","Aepeomys","reigi"
"1471","Chilomys","instans"
"1472","Rhagomys","longilingua"
"1473","Rhagomys","rufescens"
"1474","Rhipidomys","austrinus"
"1475","Rhipidomys","caucensis"
"1476","Rhipidomys","couesi"
"1477","Rhipidomys","emiliae"
"1478","Rhipidomys","fulviventer"
"1479","Rhipidomys","gardneri"
"1480","Rhipidomys","latimanus"
"1481","Rhipidomys","leucodactylus"
"1482","Rhipidomys","macconnelli"
"1483","Rhipidomys","macrurus"
"1484","Rhipidomys","mastacalis"
"1485","Rhipidomys","modicus"
"1486","Rhipidomys","nitela"
"1487","Rhipidomys","ochrogaster"
"1488","Rhipidomys","venezuelae"
"1489","Rhipidomys","venustus"
"1490","Rhipidomys","wetzeli"
"1491","Thomasomys","apeco"
"1492","Thomasomys","aureus"
"1493","Thomasomys","baeops"
"1494","Thomasomys","bombycinus"
"1495","Thomasomys","caudivarius"
"1496","Thomasomys","cinereiventer"
"1497","Thomasomys","cinereus"
"1498","Thomasomys","cinnameus"
"1499","Thomasomys","daphne"
"1500","Thomasomys","eleusis"
"1501","Thomasomys","erro"
"1502","Thomasomys","gracilis"
"1503","Thomasomys","hudsoni"
"1504","Thomasomys","hylophilus"
"1505","Thomasomys","incanus"
"1506","Thomasomys","ischyrus"
"1507","Thomasomys","kalinowskii"
"1508","Thomasomys","ladewi"
"1509","Thomasomys","laniger"
"1510","Thomasomys","macrotis"
"1511","Thomasomys","monochromos"
"1512","Thomasomys","niveipes"
"1513","Thomasomys","notatus"
"1514","Thomasomys","onkiro"
"1515","Thomasomys","oreas"
"1516","Thomasomys","paramorum"
"1517","Thomasomys","popayanus"
"1518","Thomasomys","praetor"
"1519","Thomasomys","pyrrhonotus"
"1520","Thomasomys","rhoadsi"
"1521","Thomasomys","rosalinda"
"1522","Thomasomys","silvestris"
"1523","Thomasomys","taczanowskii"
"1524","Thomasomys","ucucha"
"1525","Thomasomys","vestitus"
"1526","Thomasomys","vulcani"
"1527","Leimacomys","buettneri"
"1528","Acomys","airensis"
"1529","Acomys","cahirinus"
"1530","Acomys","chudeaui"
"1531","Acomys","cilicicus"
"1532","Acomys","cineraceus"
"1533","Acomys","dimidiatus"
"1534","Acomys","ignitus"
"1535","Acomys","johannis"
"1536","Acomys","kempi"
"1537","Acomys","louisae"
"1538","Acomys","minous"
"1539","Acomys","mullah"
"1540","Acomys","nesiotes"
"1541","Acomys","percivali"
"1542","Acomys","russatus"
"1543","Acomys","seurati"
"1544","Acomys","spinosissimus"
"1545","Acomys","subspinosus"
"1546","Acomys","wilsoni"
"1547","Deomys","ferugineus"
"1548","Lophuromys","luteogaster"
"1549","Lophuromys","medicaudatus"
"1550","Lophuromys","woosnami"
"1551","Lophuromys","angolensis"
"1552","Lophuromys","aquilus"
"1553","Lophuromys","brevicaudus"
"1554","Lophuromys","brunneus"
"1555","Lophuromys","chrysopus"
"1556","Lophuromys","cinereus"
"1557","Lophuromys","dieterleni"
"1558","Lophuromys","dudui"
"1559","Lophuromys","huttereri"
"1560","Lophuromys","flavopunctatus"
"1561","Lophuromys","melanonyx"
"1562","Lophuromys","nudicaudus"
"1563","Lophuromys","rahmi"
"1564","Lophuromys","roseveari"
"1565","Lophuromys","sikapusi"
"1566","Lophuromys","verhageni"
"1567","Lophuromys","zena"
"1568","Uranomys","ruddi"
"1569","Myotomys","sloggetti"
"1570","Myotomys","unisulcatus"
"1571","Otomys","anchietae"
"1572","Otomys","angoniensis"
"1573","Otomys","barbouri"
"1574","Otomys","burtoni"
"1575","Otomys","cuanzensis"
"1576","Otomys","dartmouthi"
"1577","Otomys","denti"
"1578","Otomys","dollmani"
"1579","Otomys","irroratus"
"1580","Otomys","jacksoni"
"1581","Otomys","lacustris"
"1582","Otomys","laminatus"
"1583","Otomys","maximus"
"1584","Otomys","occidentalis"
"1585","Otomys","orestes"
"1586","Otomys","saundersiae"
"1587","Otomys","tropicalis"
"1588","Otomys","typus"
"1589","Otomys","uzungwensis"
"1590","Parotomys","brantsii"
"1591","Parotomys","littledalei"
"1592","Ammodillus","imbellis"
"1593","Brachiones","przewalskii"
"1594","Desmodilliscus","braueri"
"1595","Desmodillus","auricularis"
"1596","Dipodillus","bottai"
"1597","Dipodillus","campestris"
"1598","Dipodillus","dasyurus"
"1599","Dipodillus","harwoodi"
"1600","Dipodillus","jamesi"
"1601","Dipodillus","lowei"
"1602","Dipodillus","mackilligini"
"1603","Dipodillus","maghrebi"
"1604","Dipodillus","rupicola"
"1605","Dipodillus","simoni"
"1606","Dipodillus","somalicus"
"1607","Dipodillus","stigmonyx"
"1608","Dipodillus","zakariai"
"1609","Gerbilliscus","afra"
"1610","Gerbilliscus","boehmi"
"1611","Gerbilliscus","brantsii"
"1612","Gerbilliscus","guineae"
"1613","Gerbilliscus","inclusus"
"1614","Gerbilliscus","kempi"
"1615","Gerbilliscus","leucogaster"
"1616","Gerbilliscus","nigricaudus"
"1617","Gerbilliscus","phillipsi"
"1618","Gerbilliscus","robustus"
"1619","Gerbilliscus","validus"
"1620","Gerbillurus","paeba"
"1621","Gerbillurus","setzeri"
"1622","Gerbillurus","tytonis"
"1623","Gerbillurus","vallinus"
"1624","Gerbillus","simoni"
"1625","Gerbillus","zakariai"
"1626","Gerbillus","amoenus"
"1627","Gerbillus","bottai"
"1628","Gerbillus","brockmani"
"1629","Gerbillus","campestris"
"1630","Gerbillus","dasyurus"
"1631","Gerbillus","diminutus"
"1632","Gerbillus","famulus"
"1633","Gerbillus","garamantis"
"1634","Gerbillus","grobbeni"
"1635","Gerbillus","harwoodi"
"1636","Gerbillus","henleyi"
"1637","Gerbillus","jamesi"
"1638","Gerbillus","juliani"
"1639","Gerbillus","lowei"
"1640","Gerbillus","mackilligini"
"1641","Gerbillus","mauritaniae"
"1642","Gerbillus","maghrebi"
"1643","Gerbillus","mesopotamiae"
"1644","Gerbillus","muriculus"
"1645","Gerbillus","nanus"
"1646","Gerbillus","percivali"
"1647","Gerbillus","poecillops"
"1648","Gerbillus","principulus"
"1649","Gerbillus","pusillus"
"1650","Gerbillus","quadrimaculatus"
"1651","Gerbillus","ruberrimus"
"1652","Gerbillus","somalicus"
"1653","Gerbillus","stigmonyx"
"1654","Gerbillus","syrticus"
"1655","Gerbillus","vivax"
"1656","Gerbillus","watersi"
"1657","Gerbillus","acticola"
"1658","Gerbillus","agag"
"1659","Gerbillus","allenbyi"
"1660","Gerbillus","andersoni"
"1661","Gerbillus","aquilus"
"1662","Gerbillus","bilensis"
"1663","Gerbillus","bonhotei"
"1664","Gerbillus","burtoni"
"1665","Gerbillus","cheesmani"
"1666","Gerbillus","cosensi"
"1667","Gerbillus","dalloni"
"1668","Gerbillus","dongolanus"
"1669","Gerbillus","dunni"
"1670","Gerbillus","floweri"
"1671","Gerbillus","gerbillus"
"1672","Gerbillus","gleadowi"
"1673","Gerbillus","hesperinus"
"1674","Gerbillus","hoogstraali"
"1675","Gerbillus","latastei"
"1676","Gerbillus","nancillus"
"1677","Gerbillus","nigeriae"
"1678","Gerbillus","occiduus"
"1679","Gerbillus","perpallidus"
"1680","Gerbillus","pulvinatus"
"1681","Gerbillus","pyramidum"
"1682","Gerbillus","riggenbachi"
"1683","Gerbillus","rosalinda"
"1684","Gerbillus","tarabuli"
"1685","Meriones","tamariscinus"
"1686","Meriones","persicus"
"1687","Meriones","rex"
"1688","Meriones","arimalius"
"1689","Meriones","chengi"
"1690","Meriones","crassus"
"1691","Meriones","dahli"
"1692","Meriones","grandis"
"1693","Meriones","libycus"
"1694","Meriones","meridianus"
"1695","Meriones","sacramenti"
"1696","Meriones","shawi"
"1697","Meriones","tristrami"
"1698","Meriones","unguiculatus"
"1699","Meriones","vinogradovi"
"1700","Meriones","zarudnyi"
"1701","Meriones","hurrianae"
"1702","Microdillus","peeli"
"1703","Pachyuromys","duprasi"
"1704","Psammomys","obesus"
"1705","Psammomys","vexillaris"
"1706","Rhombomys","opimus"
"1707","Sekeetamys","calurus"
"1708","Tatera","indica"
"1709","Taterillus","arenarius"
"1710","Taterillus","congicus"
"1711","Taterillus","emini"
"1712","Taterillus","gracilis"
"1713","Taterillus","harringtoni"
"1714","Taterillus","lacustris"
"1715","Taterillus","petteri"
"1716","Taterillus","pygargus"
"1717","Taterillus","tranieri"
"1718","Abditomys","latidens"
"1719","Abeomelomys","sevia"
"1720","Aethomys","bocagei"
"1721","Aethomys","chrysophilus"
"1722","Aethomys","granti"
"1723","Aethomys","hindei"
"1724","Aethomys","ineptus"
"1725","Aethomys","kaiseri"
"1726","Aethomys","namaquensis"
"1727","Aethomys","nyikae"
"1728","Aethomys","silindensis"
